case_id,offender_race,victim_race,sentence
1459,black,white,jail
1460,white,white,jail
1461,black,black,jail
1462,white,white,jail
1463,white,white,jail
1464,black,black,jail
1465,white,white,jail
1466,black,black,jail
1467,black,black,jail
1468,black,black,jail
1469,black,black,jail
1470,white,white,jail
1471,white,black,jail
1472,white,white,jail
1473,white,white,jail
1474,white,white,jail
1475,white,white,jail
1476,white,white,jail
1477,black,black,jail
1478,black,white,jail
1479,white,white,jail
1480,white,white,jail
1481,black,white,jail
1482,black,black,jail
1483,black,black,jail
1484,black,black,jail
1485,white,black,jail
1486,white,white,jail
1487,black,black,jail
1488,black,black,jail
1489,black,black,jail
1490,white,white,jail
1491,black,black,jail
1492,black,black,jail
1493,white,white,jail
