respondent_id,approve_president
2463,Disapprove
3291,Disapprove
3600,Disapprove
1488,Approve
1728,Disapprove
3241,Disapprove
3081,Disapprove
2658,Disapprove
68,Disapprove
870,Approve
2261,Approve
2949,Approve
2946,Disapprove
4094,Disapprove
423,Approve
963,Approve
3481,Disapprove
2086,Disapprove
91,Disapprove
2738,Disapprove
3586,Approve
3093,Disapprove
334,Approve
1527,Disapprove
193,Approve
3019,Disapprove
729,Disapprove
2471,Approve
3517,Disapprove
3209,Disapprove
3163,Disapprove
1270,Disapprove
88,Disapprove
1713,Disapprove
492,Approve
491,Disapprove
301,Approve
1497,Approve
1790,Approve
1443,Approve
3333,Disapprove
3282,Disapprove
1171,Disapprove
4111,Approve
1742,Approve
66,Disapprove
2487,Approve
2711,Approve
253,Disapprove
1873,Approve
3485,Approve
2997,Approve
77,Disapprove
2859,Disapprove
793,Disapprove
3502,Disapprove
2865,Disapprove
202,Disapprove
1556,Disapprove
3529,Approve
3723,Disapprove
353,Disapprove
3073,Disapprove
1500,Approve
2975,Disapprove
737,Disapprove
2831,Disapprove
3594,Approve
2902,Disapprove
3680,Disapprove
3566,Disapprove
3323,Disapprove
4012,Approve
4029,Approve
1681,Disapprove
362,Approve
3054,Disapprove
1554,Approve
706,Disapprove
908,Disapprove
1621,Disapprove
542,Disapprove
2381,Disapprove
1223,Disapprove
2513,Approve
4060,Disapprove
1705,Approve
1316,Disapprove
2146,Disapprove
2967,Approve
646,Disapprove
1788,Approve
4004,Approve
1832,Disapprove
2942,Disapprove
702,Disapprove
1481,Disapprove
3429,Approve
2508,Disapprove
1392,Disapprove
2312,Disapprove
1319,Disapprove
3910,Disapprove
1001,Approve
2340,Approve
2834,Approve
2268,Approve
559,Approve
4095,Approve
1345,Approve
3489,Disapprove
4097,Approve
1069,Disapprove
4091,Disapprove
639,Approve
3386,Disapprove
3187,Disapprove
2664,Disapprove
4104,Disapprove
1285,Disapprove
2145,Disapprove
2515,Disapprove
514,Approve
2076,Disapprove
2614,Approve
1311,Disapprove
1593,Disapprove
